"month","cab","PULocationID","pickup_rides","DOLocationID","drop_rides"
12,"yellow_cabs",132,7,138,2
1,"yellow_cabs",138,1,138,1
1,"yellow_cabs",138,1,132,5
1,"yellow_cabs",132,10,138,1
1,"yellow_cabs",132,10,132,5
6,"yellow_cabs",138,5,,
6,"yellow_cabs",132,14,,
3,"yellow_cabs",132,1,,
9,"yellow_cabs",132,7,132,1
9,"yellow_cabs",132,7,1,1
9,"yellow_cabs",132,7,138,1
9,"yellow_cabs",138,4,132,1
9,"yellow_cabs",138,4,1,1
9,"yellow_cabs",138,4,138,1
4,"yellow_cabs",138,1,,
8,"yellow_cabs",1,769,1,13670
8,"yellow_cabs",1,769,132,62076
8,"yellow_cabs",1,769,138,74007
8,"yellow_cabs",132,240800,1,13670
8,"yellow_cabs",132,240800,132,62076
8,"yellow_cabs",132,240800,138,74007
8,"yellow_cabs",138,170439,1,13670
8,"yellow_cabs",138,170439,132,62076
8,"yellow_cabs",138,170439,138,74007
7,"yellow_cabs",132,237730,132,61804
7,"yellow_cabs",132,237730,1,13353
7,"yellow_cabs",132,237730,138,74023
7,"yellow_cabs",1,702,132,61804
7,"yellow_cabs",1,702,1,13353
7,"yellow_cabs",1,702,138,74023
7,"yellow_cabs",138,165230,132,61804
7,"yellow_cabs",138,165230,1,13353
7,"yellow_cabs",138,165230,138,74023
10,"yellow_cabs",138,3,1,1
10,"yellow_cabs",138,3,132,1
10,"yellow_cabs",132,1,1,1
10,"yellow_cabs",132,1,132,1
11,"yellow_cabs",132,2,,
2,"yellow_cabs",132,1,138,1
8,"fhv",1,1577,1,2477
8,"fhv",1,1577,132,7564
8,"fhv",1,1577,138,5975
8,"fhv",132,5913,1,2477
8,"fhv",132,5913,132,7564
8,"fhv",132,5913,138,5975
8,"fhv",138,4653,1,2477
8,"fhv",138,4653,132,7564
8,"fhv",138,4653,138,5975
7,"fhv",132,6419,132,7616
7,"fhv",132,6419,1,2546
7,"fhv",132,6419,138,5538
7,"fhv",1,1329,132,7616
7,"fhv",1,1329,1,2546
7,"fhv",1,1329,138,5538
7,"fhv",138,4359,132,7616
7,"fhv",138,4359,1,2546
7,"fhv",138,4359,138,5538
